,phoenix_flux
0.5153999999999983,2229350.8405689425
0.5154999999999983,2586105.4605545173
0.5155999999999983,2942860.0805400917
0.5156999999999983,3299614.700525666
0.5157999999999983,3291354.037833425
0.5158999999999982,3122982.9464515746
0.5159999999999982,2954611.8550697234
0.5160999999999982,2786240.7636878723
0.5161999999999982,2617869.672306021
0.5162999999999982,2449498.58092417
0.5163999999999982,2281127.4895423194
0.5164999999999982,2146807.837456445
0.5165999999999982,2025385.6567541473
0.5166999999999982,1903963.4760518493
0.5167999999999981,1782541.2953495516
0.5168999999999981,1661119.1146472539
0.5169999999999981,1539696.933944956
0.5170999999999981,1418274.753242658
0.5171999999999981,1362771.5605284006
0.5172999999999981,1329706.2246796899
0.5173999999999981,1296640.888830979
0.5174999999999981,1263575.552982268
0.5175999999999981,1230510.217133557
0.517699999999998,1197444.881284846
0.517799999999998,1164379.545436135
0.517899999999998,1099568.5071960988
0.517999999999998,1024588.5162084184
0.518099999999998,949608.5252207379
0.518199999999998,874628.5342330574
0.518299999999998,799648.543245377
0.518399999999998,724668.5522576965
0.518499999999998,649688.561270016
0.518599999999998,718583.5708933237
0.5186999999999979,833092.4916086191
0.5187999999999979,947601.4123239145
0.5188999999999979,1062110.3330392097
0.5189999999999979,1176619.253754505
0.5190999999999979,1291128.1744698002
0.5191999999999979,1405637.0951850957
0.5192999999999979,1396021.928340893
0.5193999999999979,1345408.9557578345
0.5194999999999979,1294795.9831747757
0.5195999999999978,1244183.0105917172
0.5196999999999978,1193570.0380086587
0.5197999999999978,1142957.0654256
0.5198999999999978,1092344.0928425414
0.5199999999999978,1091480.588574901
0.5200999999999978,1108583.988996089
0.5201999999999978,1125687.389417277
0.5202999999999978,1142790.789838465
0.5203999999999978,1159894.1902596531
0.5204999999999977,1176997.5906808411
0.5205999999999977,1194100.991102029
0.5206999999999977,1391552.8113940875
0.5207999999999977,1663330.4843511353
0.5208999999999977,1935108.157308183
0.5209999999999977,2206885.8302652305
0.5210999999999977,2478663.5032222783
0.5211999999999977,2750441.176179326
0.5212999999999977,3022218.849136374
0.5213999999999976,3209883.0903073684
0.5214999999999976,3356517.376116981
0.5215999999999976,3503151.6619265927
0.5216999999999976,3649785.947736205
0.5217999999999976,3796420.2335458174
0.5218999999999976,3943054.51935543
0.5219999999999976,4089688.805165042
0.5220999999999976,4019767.074408401
0.5221999999999976,3820802.4574460327
0.5222999999999975,3621837.8404836645
0.5223999999999975,3422873.2235212964
0.5224999999999975,3223908.6065589283
0.5225999999999975,3024943.98959656
0.5226999999999975,2825979.372634192
0.5227999999999975,2624004.3033660706
0.5228999999999975,2419772.6392762437
0.5229999999999975,2215540.975186417
0.5230999999999975,2011309.31109659
0.5231999999999974,1807077.6470067631
0.5232999999999974,1602845.9829169363
0.5233999999999974,1398614.3188271096
0.5234999999999974,1405209.6236662406
0.5235999999999974,1616825.160201987
0.5236999999999974,1828440.6967377337
0.5237999999999974,2040056.23327348
0.5238999999999974,2251671.7698092265
0.5239999999999974,2463287.306344973
0.5240999999999973,2674902.8428807193
0.5241999999999973,2729328.5065271095
0.5242999999999973,2577795.361070682
0.5243999999999973,2426262.215614254
0.5244999999999973,2274729.070157827
0.5245999999999973,2123195.924701399
0.5246999999999973,1971662.7792449717
0.5247999999999973,1820129.6337885442
0.5248999999999973,1848046.50675066
0.5249999999999972,2210456.4531951854
0.5250999999999972,2572866.399639711
0.5251999999999972,2935276.346084236
0.5252999999999972,3297686.2925287616
0.5253999999999972,3660096.238973287
0.5254999999999972,4022506.185417812
0.5255999999999972,4223501.912724898
0.5256999999999972,3955142.498974853
0.5257999999999972,3686783.085224808
0.5258999999999971,3418423.671474763
0.5259999999999971,3150064.257724718
0.5260999999999971,2881704.8439746727
0.5261999999999971,2613345.4302246277
0.5262999999999971,2364107.60159336
0.5263999999999971,2220683.638419639
0.5264999999999971,2077259.6752459176
0.5265999999999971,1933835.7120721964
0.5266999999999971,1790411.7488984754
0.526799999999997,1646987.7857247542
0.526899999999997,1503563.822551033
0.526999999999997,1372146.7404019139
0.527099999999997,1524431.200155214
0.527199999999997,1676715.6599085142
0.527299999999997,1829000.1196618143
0.527399999999997,1981284.5794151146
0.527499999999997,2133569.0391684147
0.527599999999997,2285853.4989217147
0.527699999999997,2438137.958675015
0.5277999999999969,2682801.882825602
0.5278999999999969,2935657.994523726
0.5279999999999969,3188514.10622185
0.5280999999999969,3441370.2179199737
0.5281999999999969,3694226.3296180977
0.5282999999999969,3947082.441316222
0.5283999999999969,4199938.5530143455
0.5284999999999969,4222356.127463177
0.5285999999999969,4182353.3794148685
0.5286999999999968,4142350.6313665607
0.5287999999999968,4102347.8833182524
0.5288999999999968,4062345.1352699446
0.5289999999999968,4022342.3872216363
0.5290999999999968,3982339.639173328
0.5291999999999968,3840160.7447081534
0.5292999999999968,3641876.7815399785
0.5293999999999968,3443592.8183718035
0.5294999999999968,3245308.8552036285
0.5295999999999967,3047024.8920354536
0.5296999999999967,2848740.9288672786
0.5297999999999967,2650456.9656991037
0.5298999999999967,2614375.9983120533
0.5299999999999967,2744065.5595195633
0.5300999999999967,2873755.1207270734
0.5301999999999967,3003444.6819345835
0.5302999999999967,3133134.2431420935
0.5303999999999967,3262823.8043496036
0.5304999999999966,3392513.3655571137
0.5305999999999966,3479835.1381584313
0.5306999999999966,3482645.717785952
0.5307999999999966,3485456.297413473
0.5308999999999966,3488266.8770409944
0.5309999999999966,3491077.456668515
0.5310999999999966,3493888.036296036
0.5311999999999966,3496698.615923557
0.5312999999999966,3484225.8568230467
0.5313999999999965,3393621.6082975813
0.5314999999999965,3303017.359772116
0.5315999999999965,3212413.1112466506
0.5316999999999965,3121808.8627211847
0.5317999999999965,3031204.6141957194
0.5318999999999965,2940600.365670254
0.5319999999999965,2849996.1171447886
0.5320999999999965,2802008.4543927517
0.5321999999999965,2754731.3001579978
0.5322999999999964,2707454.145923244
0.5323999999999964,2660176.9916884904
0.5324999999999964,2612899.8374537365
0.5325999999999964,2565622.6832189825
0.5326999999999964,2518345.528984229
0.5327999999999964,2302614.819438098
0.5328999999999964,2043150.6711452543
0.5329999999999964,1783686.5228524106
0.5330999999999964,1524222.374559567
0.5331999999999963,1264758.2262667236
0.5332999999999963,1005294.0779738799
0.5333999999999963,745829.9296810364
0.5334999999999963,782101.7610414131
0.5335999999999963,1020119.1860567345
0.5336999999999963,1258136.611072056
0.5337999999999963,1496154.0360873775
0.5338999999999963,1734171.461102699
0.5339999999999963,1972188.8861180204
0.5340999999999962,2210206.311133342
0.5341999999999962,2391278.8184076715
